peakset,file,m/z,rt,intensity
69,1,226.035655607,488.790985107,366425.40625
69,2,226.035480069,486.808990479,494199.1875
70,0,130.093583405,642.551025391,861120.25
70,1,130.093597302,647.552978516,857117.75
70,2,130.09356466,654.37701416,688112.125
71,0,371.173063039,235.044006348,228879.78125
71,1,371.173177108,231.005004883,250914.03125
71,2,371.173491229,236.216003418,143176.828125
72,0,412.77099083,1367.5,641367.75
72,1,412.77101284,1371.18994141,704788.875
72,2,412.771013889,1369.29003906,808386.3125
73,0,135.938930288,1314.90002441,72366.8671875
73,1,135.938926812,1313.95996094,81356.25
73,2,135.938942241,1309.72998047,58926.8632812
74,0,362.177056218,799.463989258,1292590.375
74,2,362.177058225,788.431030273,1523224.75
75,0,147.089475469,509.662994385,724449.9375
75,1,147.089475643,509.25201416,939813.875
75,2,147.08952703,508.399993896,921290.9375
76,0,264.147258844,1123.14001465,650829.3125
76,2,264.147246313,1110.22998047,757489.6875
77,0,315.132930797,550.958007812,361639.28125
77,2,315.133017075,550.732971191,624529.8125
78,0,364.17462586,594.742980957,388912.9375
78,1,364.174651047,594.820983887,440640.65625
78,2,364.174878728,594.366027832,415447.34375
79,0,283.120641431,277.70199585,500069.0
79,1,283.120630477,280.018005371,574522.0625
79,2,283.120595037,274.937011719,195846.96875
80,0,282.134676747,748.133972168,82629.6875
80,2,282.134475215,752.372009277,81750.3828125
81,0,272.173275319,254.871002197,3669583.0
81,1,272.173291351,257.558990479,3434003.25
81,2,272.173263287,253.552001953,3209491.75
82,0,264.136058714,205.735992432,3822642.75
82,1,264.135972758,204.309005737,3934151.5
82,2,264.135988956,205.37600708,4342158.0
83,1,131.094646487,535.75201416,6932299.5
83,2,131.094662505,533.333984375,7832161.5
84,1,472.216623195,780.633972168,103968.171875
84,2,472.216645842,778.112976074,90591.6015625
85,0,105.042626802,491.622009277,603536.6875
85,1,105.042634055,495.178985596,674007.6875
85,2,105.042559842,489.283996582,597908.625
86,0,104.946440876,1364.80004883,388665.96875
86,1,104.946451222,1364.92004395,387560.40625
86,2,104.946452304,1362.97998047,401177.0625
87,0,242.100130344,650.03302002,302275.40625
87,1,242.100069712,648.794006348,319008.5625
87,2,242.100116248,645.484008789,395431.46875
88,0,306.095060951,299.618011475,280245.78125
88,1,306.094901191,298.518005371,271238.125
88,2,306.095033919,298.790008545,383153.78125
89,1,474.187948196,299.761993408,135769.5
89,2,474.187740917,285.25201416,164928.125
90,0,167.079392099,559.742004395,3906225.25
90,1,167.079352857,559.580993652,3015096.25
90,2,167.079384821,558.273010254,3883260.5
91,0,304.244523019,229.710006714,1861257.75
91,1,304.244558339,229.763000488,1891287.5
91,2,304.244581681,229.643005371,1183410.25
92,1,147.100731587,1271.23999023,116737.273438
92,2,147.100730647,1274.42004395,145609.796875
93,1,222.100447829,388.881988525,156756.0
93,2,222.1004428,395.222991943,196411.671875
94,0,600.264376139,868.489990234,370728.6875
94,1,600.264441225,863.104003906,376859.375
94,2,600.264454068,864.914001465,492565.1875
95,0,325.163754185,300.863006592,1391829.625
95,1,325.163756761,299.761993408,1580662.75
95,2,325.163785157,290.589996338,779537.375
96,0,475.205480271,805.973999023,173415.640625
96,1,475.205273535,805.375976562,194442.09375
96,2,475.205384886,806.401000977,262006.3125
97,1,314.121186609,632.572998047,284512.5625
97,2,314.120897602,626.781005859,249834.40625
98,0,220.073525257,209.54800415,1860025.875
98,1,220.073430894,210.522003174,1880577.625
98,2,220.073475311,209.139007568,1893069.0
99,0,297.142579639,499.240997314,316681.9375
99,1,297.142485525,502.852996826,247142.109375
99,2,297.142882435,503.17098999,205821.203125
100,1,441.184735972,523.335021973,819158.375
100,2,441.184908819,517.224975586,1045743.0625
101,0,552.361741495,218.244995117,13243283.0
101,1,552.361727455,219.503997803,16602032.0
101,2,552.361849643,221.878997803,14493333.0
102,0,336.157362517,239.110992432,411390.375
102,1,336.157429346,241.753997803,461242.9375
102,2,336.15738088,240.294998169,483814.90625
103,0,367.18518159,254.871002197,343405.125
103,1,367.185228899,257.558990479,364312.59375
103,2,367.185200204,252.309005737,397163.65625
104,1,194.105623336,358.483001709,495579.3125
104,2,194.105629603,362.489990234,1123265.125
105,0,147.089486346,395.725006104,819289.6875
105,1,147.089507967,388.881988525,1728216.0
105,2,147.089520565,392.744995117,2783959.25
106,0,460.25300967,302.479003906,134375.828125
106,1,460.253125125,299.761993408,146306.578125
106,2,460.25313222,286.858001709,215947.703125
107,0,200.135406156,906.122009277,97093.7734375
107,1,200.135332368,910.030029297,88731.5625
107,2,200.135426323,907.585998535,99014.6484375
108,0,139.06334968,518.502990723,635769.875
108,1,139.063311888,519.443969727,705336.4375
108,2,139.06343323,519.697021484,802949.75
109,0,230.091980843,1375.05004883,98771.1015625
109,1,230.092001044,1380.04003906,143407.28125
109,2,230.092029538,1371.82995605,122876.765625
110,0,116.047320616,443.407012939,1904718.125
110,1,116.047320647,443.065002441,2049130.0
110,2,116.047308564,444.856994629,2545484.0
111,0,479.288416182,218.244995117,179667.296875
111,1,479.288186185,218.26499939,173711.8125
111,2,479.288246187,217.973999023,308471.15625
112,0,104.105856917,933.275024414,3130095.25
112,1,104.105892632,929.625,3660325.25
112,2,104.105870643,937.429016113,3792700.25
113,0,173.105226734,495.514007568,1093331.0
113,2,173.105142013,493.20098877,1789429.5
114,0,281.832121886,1409.81005859,52066.8398438
114,2,281.832174243,1406.60998535,58488.5351562
115,0,185.080044045,504.390014648,448805.4375
115,1,185.079988903,506.585998535,317240.34375
115,2,185.080048541,504.414001465,364698.6875
116,0,351.189249571,229.710006714,238236.78125
116,1,351.189183671,233.839004517,179987.125
116,2,351.189466201,229.643005371,208001.1875
117,0,467.215057737,297.136993408,122001.96875
117,2,467.214764942,285.25201416,189314.546875
118,0,245.105060428,265.57699585,483297.9375
118,1,245.10510444,266.82800293,473915.8125
118,2,245.105073112,264.239990234,296398.71875
119,0,288.103584714,613.388000488,574412.8125
119,1,288.103636076,614.851013184,334297.6875
119,2,288.103703352,612.989013672,522034.21875
120,0,607.37780443,265.57699585,309456.03125
120,1,607.378365573,268.256011963,328295.65625
120,2,607.378517199,262.993988037,292569.9375
121,0,253.116211644,482.765991211,613794.6875
121,1,253.116195215,478.506011963,531475.5
121,2,253.116246778,481.859985352,590110.5
122,1,451.692250474,1328.45996094,46234.0078125
122,2,451.692057061,1331.05004883,73010.4609375
123,0,286.116384879,545.999023438,614565.375
123,2,286.116370765,542.03302002,702446.8125
124,1,310.118248949,287.847991943,183003.625
124,2,310.118131293,276.179992676,173108.421875
125,0,197.116414281,553.526977539,1850198.125
125,1,197.116423334,554.434020996,1912636.0
125,2,197.116454326,554.508972168,2346508.0
126,0,377.220004136,212.020004272,1660855.25
126,1,377.21972727,211.757995605,1788593.375
126,2,377.219715917,210.37399292,1683515.75
127,0,446.151313824,560.986999512,410973.15625
127,1,446.151078483,560.82598877,366089.90625
127,2,446.151151169,559.515991211,251094.109375
128,0,323.83838371,1436.18005371,132917.625
128,1,323.838503862,1438.89001465,127498.890625
128,2,323.838446171,1439.51000977,162847.171875
129,0,270.150680023,470.942993164,3787388.75
129,1,270.150646826,469.384002686,3600670.75
129,2,270.150718691,468.928985596,4305590.5
130,1,117.098264389,914.070007324,76214.984375
130,2,117.098219013,917.939025879,87134.5859375
131,1,200.124090835,1075.26000977,42105.3359375
131,2,200.12395223,1079.93005371,50146.5898438
132,0,182.077282931,585.96697998,1845128.625
132,1,182.07724501,584.786987305,1937445.125
132,2,182.077364189,584.416015625,2094612.375
133,0,120.057529058,7.39108991623,64058.4726562
133,1,120.057514291,11.3097000122,44160.609375
133,2,120.057517789,10.9912996292,75727.0625
134,0,233.089853168,592.257995605,21954712.0
134,1,233.089855505,593.57800293,20279570.0
134,2,233.090060421,590.646972656,15279347.0
135,0,284.162236148,253.628005981,114997.007812
135,1,284.162174845,253.462997437,91975.3984375
135,2,284.16225672,254.794998169,94690.2578125
136,0,469.136534944,638.82598877,410801.09375
136,1,469.136725645,638.82800293,304948.625
136,2,469.136618109,638.020996094,468169.84375
137,1,143.094649025,390.12298584,1686622.5
137,2,143.094660952,392.744995117,2298749.25
138,1,199.103770486,400.783996582,455616.9375
138,2,199.103779225,399.069000244,256217.171875
139,0,341.132218459,700.331970215,2984047.25
139,1,341.132178923,702.174987793,2663034.75
139,2,341.132275516,700.166015625,2618724.0
140,0,288.179552433,626.051025391,241932.5
140,1,288.179523523,626.302001953,175971.265625
140,2,288.179608519,625.499023438,281548.84375
141,0,443.163972913,585.96697998,817559.375
141,1,443.16396353,588.528015137,823579.6875
141,2,443.164341681,585.653991699,804355.4375
142,0,345.142451817,453.384002686,448166.28125
142,1,345.142351629,451.785003662,487223.375
142,2,345.142501435,453.561004639,429795.25
143,0,329.231005927,253.628005981,304684.46875
143,1,329.231037752,257.558990479,264309.625
143,2,329.230843112,250.886001587,283747.5625
144,0,249.876818998,1377.59997559,172260.828125
144,1,249.876837079,1373.7800293,161947.921875
144,2,249.876842987,1373.08996582,244376.25
145,0,259.850264488,1331.68005371,378962.5
145,1,259.850252631,1328.45996094,374844.15625
145,2,259.850259383,1329.80004883,440605.5
146,0,220.890096458,1375.05004883,75969.6328125
146,1,220.890093039,1373.7800293,61162.6015625
146,2,220.889984862,1370.54003906,56226.0898438
147,0,232.094723762,438.406005859,495176.15625
147,1,232.094741585,438.059997559,466836.5625
147,2,232.094583465,438.544006348,474481.9375
148,1,178.082193817,388.881988525,248382.25
148,2,178.082264925,392.744995117,457721.96875
149,0,233.077415118,437.165008545,464342.875
149,2,233.077402135,437.303985596,466241.9375
150,0,271.092998662,510.903015137,386962.625
150,1,271.092960383,510.492004395,425628.09375
150,2,271.093014247,509.638000488,596716.625
151,1,173.129903148,1174.97998047,165726.984375
151,2,173.129913455,1182.17004395,212190.515625
152,0,236.90378301,1425.57995605,146774.546875
152,1,236.903810353,1424.23999023,153878.09375
152,2,236.903811312,1427.67004395,185186.546875
153,0,86.0561073275,646.271972656,410621.0
153,1,86.0561190645,646.276000977,393897.125
153,2,86.056132551,645.484008789,458403.8125
154,0,284.137044874,906.122009277,170810.046875
154,1,284.137052901,907.484008789,193480.875
154,2,284.137069142,905.007019043,223547.015625
155,0,237.10004088,589.700012207,567861.9375
155,1,237.099935448,591.008972168,539797.8125
155,2,237.100247006,588.16998291,530329.4375
156,0,184.109959417,365.688995361,355851.5
156,1,184.109986613,370.040008545,287971.875
156,2,184.109976779,355.609985352,366271.8125
157,0,148.016048915,239.110992432,2130007.75
157,1,148.016098254,240.376998901,2397471.75
157,2,148.016089016,240.294998169,1326085.25
158,0,193.139509787,337.928009033,222931.9375
158,2,193.139472108,336.17300415,630431.5
159,0,228.039971522,274.851013184,478953.3125
159,1,228.039989682,275.917999268,418666.5
159,2,228.039962931,270.834991455,275888.84375
160,0,254.100028763,595.984985352,2344779.5
160,1,254.100046527,596.062011719,2470826.75
160,2,254.100363247,595.606018066,2494519.0
161,0,215.115675319,407.855010986,8052334.0
161,2,215.115811448,413.476013184,12297745.0
162,0,231.056504302,549.71697998,3758439.0
162,1,231.056486834,549.435974121,3305359.75
162,2,231.056503045,550.732971191,4923972.0
163,0,427.220516328,225.863998413,248151.59375
163,1,427.220391725,222.20300293,239353.59375
163,2,427.220491595,217.973999023,295936.09375
164,0,194.105645703,334.186004639,330090.03125
164,1,194.105630948,324.992004395,352203.75
164,2,194.105641948,329.790008545,657114.8125
165,1,226.095257818,365.069000244,6909711.5
165,2,226.095250435,363.727996826,18977344.0
166,0,189.06367375,560.986999512,896392.4375
166,2,189.063690201,559.515991211,1348015.375
167,0,326.607535001,290.37298584,131115.515625
167,1,326.607793732,290.335998535,94233.0234375
167,2,326.607809454,280.095001221,93144.046875
168,0,72.0574974986,256.117004395,186654.625
168,1,72.0574991174,260.04901123,102999.609375
168,2,72.0574612118,253.552001953,158208.40625
169,0,168.068743426,341.890991211,105144.609375
169,1,168.068764178,341.520996094,99522.390625
169,2,168.068722827,346.583007812,163451.234375
170,0,232.907476252,394.479003906,627001.6875
170,1,232.907474869,403.45300293,678883.9375
170,2,232.907449746,404.222991943,563049.5
171,1,304.16749949,213.009002686,207301.484375
171,2,304.167532231,214.080993652,284531.09375
172,0,104.103086693,997.354980469,618548.875
172,2,104.103086236,998.690002441,740946.875
173,0,388.177418167,513.556030273,4610426.0
173,1,388.177381045,515.731994629,4376734.5
173,2,388.177647062,513.346984863,4060294.0
174,0,227.098543983,379.781005859,1421786.75
174,1,227.09858832,375.37298584,1035715.9375
174,2,227.098575758,367.574005127,2006164.625
175,0,499.300464535,286.411987305,105089.890625
175,2,499.300496836,276.179992676,113036.921875
176,0,276.132013207,617.354980469,5326813.5
176,1,276.132046676,618.744995117,4904137.5
176,2,276.132167518,617.974975586,5474375.0
177,0,342.179309708,885.255004883,57853.0351562
177,1,342.179635329,881.281005859,54409.625
177,2,342.179321919,885.471008301,66185.96875
178,1,185.105225043,390.12298584,403041.09375
178,2,185.105215132,396.588012695,399609.75
179,0,116.083711615,278.946014404,2882627.5
179,1,116.083720081,278.774993896,2970104.0
179,2,116.083716042,274.937011719,1305860.375
180,0,324.080842741,584.728027344,3422620.25
180,1,324.080778783,588.528015137,4020930.75
180,2,324.080964363,588.16998291,2644101.0
181,0,146.077166627,613.388000488,300323.3125
181,1,146.077262169,613.614013672,538226.6875
181,2,146.077315605,611.752990723,363741.46875
182,0,116.066637234,610.882019043,883585.375
182,1,116.066669606,612.377990723,874793.75
182,2,116.066724084,612.989013672,849734.1875
183,0,211.069140492,662.655029297,237853.046875
183,1,211.069114199,662.565979004,240162.953125
183,2,211.069101756,661.989013672,288510.625
184,0,144.061651099,449.622009277,355021.03125
184,1,144.061575653,455.54699707,374458.59375
184,2,144.061621897,456.036987305,237556.6875
185,0,129.959235791,30.7957000732,126609.5625
185,1,129.959239601,20.5674991608,115687.820312
185,2,129.959251839,26.6014003754,119045.867188
186,0,279.082901343,474.881011963,635427.8125
186,1,279.082831369,475.803009033,522786.1875
186,2,279.082878468,474.044006348,637311.1875
187,0,228.147278911,407.855010986,4879791.5
187,1,228.147353813,410.042999268,5226872.5
187,2,228.147413505,413.476013184,5182788.0
188,0,308.219837116,250.774993896,538652.8125
188,1,308.219800008,253.462997437,494296.59375
188,2,308.219787608,249.641998291,501232.6875
189,0,522.199317722,659.99597168,15258912.0
189,1,522.19933855,662.565979004,14300864.0
189,2,522.199331215,661.989013672,16697836.0
190,0,381.046168852,493.036987305,255205.71875
190,2,381.046028577,490.523010254,388710.96875
191,0,232.121077405,294.468994141,226458.578125
191,1,232.121117548,289.092010498,314984.8125
191,2,232.121144784,305.37701416,195176.75
192,0,274.067704067,482.765991211,4594688.5
192,1,274.06777877,484.855010986,4604916.0
192,2,274.067656327,483.097991943,4105827.25
193,0,249.129815885,282.677001953,58153.5117188
193,2,249.129670472,270.834991455,64353.75
194,1,198.100439913,420.17098999,1252645.625
194,2,198.100457323,413.476013184,2703977.0
195,0,366.204468331,209.54800415,1814784.875
195,1,366.204263221,209.287002563,1850141.5
195,2,366.204289677,210.37399292,1837455.125
196,1,202.120558792,363.82598877,103698.359375
196,2,202.120508222,360.92401123,173233.359375
197,0,277.131198917,421.989013672,340329.75
197,1,277.13132687,420.17098999,428995.8125
197,2,277.131295095,422.312988281,482445.78125
198,0,281.184984393,804.70501709,170148.140625
198,1,281.185115659,796.41998291,152411.015625
198,2,281.184991132,797.338989258,223015.3125
199,0,256.960175035,1372.54003906,116115.523438
199,1,256.960203948,1380.04003906,122197.296875
199,2,256.960192288,1378.31994629,116287.257812
200,0,153.053798839,432.106994629,1808599.0
200,1,153.053782043,432.993988037,1741672.75
200,2,153.053758097,433.584014893,2285842.75
201,1,225.076659181,260.04901123,163736.734375
201,2,225.076672006,257.647003174,182830.265625
202,0,257.110841909,650.03302002,381788.96875
202,1,257.110731955,650.036010742,346198.90625
202,2,257.110810855,650.478027344,390348.15625
203,0,126.056065071,480.070007324,307057.21875
203,1,126.056049601,479.742004395,296175.6875
203,2,126.056013354,480.404998779,311874.59375
204,1,183.125910346,370.040008545,131206.953125
204,2,183.125936702,362.489990234,205979.96875
205,0,136.073463241,504.390014648,306712.40625
205,1,136.07349063,504.097991943,355372.53125
205,2,136.073517629,503.17098999,395626.25
206,0,175.12095311,544.760986328,445329.6875
206,1,175.120879123,548.197021484,427025.0625
206,2,175.120925083,543.270019531,509790.1875
207,0,308.029756957,397.333007812,610262.1875
207,1,308.029789994,396.877990723,949439.0
207,2,308.029837692,399.069000244,829460.0
208,0,110.056133027,370.654998779,441404.8125
208,2,110.056128576,366.208007812,560905.6875
209,0,560.466724338,218.244995117,371092.53125
209,1,560.466721446,222.20300293,268033.5
209,2,560.466755698,223.119003296,149829.671875
210,0,374.113157027,241.75100708,299977.3125
210,1,374.113251941,241.753997803,405904.5625
210,2,374.113264864,241.867996216,515025.1875
211,0,173.105197463,295.710998535,3092532.25
211,1,173.105218224,294.429992676,2499733.25
211,2,173.105228164,295.936004639,919254.4375
212,1,574.258839196,958.224975586,187109.53125
212,2,574.258760408,957.974975586,158264.90625
213,0,187.084431945,381.023010254,821925.75
213,1,187.084445326,390.12298584,809997.6875
213,2,187.084444892,379.428985596,817226.125
214,0,131.066387814,453.384002686,384238.59375
214,1,131.066355931,451.785003662,382568.4375
214,2,131.066331026,454.799987793,420658.0625
215,0,137.061056465,495.514007568,635297.875
215,1,137.061060438,495.178985596,633327.625
215,2,137.061020191,495.677001953,775710.8125
216,0,122.957144326,1380.10998535,97073.1015625
216,1,122.957125302,1386.41003418,78827.640625
216,2,122.957131218,1379.56994629,88148.921875
217,0,339.131696938,410.32598877,133442.390625
217,2,339.132151504,413.476013184,143494.484375
218,0,829.277151684,682.744995117,457492.125
218,1,829.277233646,684.244995117,448212.53125
218,2,829.27724907,683.195007324,441346.8125
219,1,201.061268302,759.763977051,472286.84375
219,2,201.061252706,767.75201416,427682.03125
220,1,194.140050734,280.018005371,262093.453125
220,2,194.140554026,276.179992676,104032.96875
221,0,249.043564028,191.440994263,518511.0625
221,1,249.043555018,195.453994751,548344.25
221,2,249.043563774,191.274993896,695147.4375
222,0,133.093193136,873.604980469,1743544.0
222,1,133.093198403,877.473022461,1963773.625
222,2,133.093186996,875.122009277,1975627.375
223,0,263.112878655,493.036987305,249845.9375
223,1,263.112967881,493.941009521,289608.71875
223,2,263.112775698,491.960998535,500359.71875
224,0,239.124369253,843.846008301,168485.453125
224,1,239.124430621,839.58001709,156103.359375
224,2,239.124412128,840.234008789,169663.796875
225,0,385.158304552,653.757995605,1802204.375
225,1,385.158300167,656.242980957,1706513.0
225,2,385.158231482,654.37701416,1913167.375
226,1,197.915469487,53.3728981018,81180.59375
226,2,197.915487242,55.0162010193,107001.15625
227,0,486.158516178,659.99597168,6549144.0
227,1,486.158485504,670.145996094,6858344.5
227,2,486.158493218,661.989013672,7691662.0
228,0,240.063259719,377.302001953,327191.125
228,1,240.063294203,371.282989502,229450.046875
228,2,240.063272744,360.92401123,570188.5625
229,0,327.997849061,46.6935997009,59903.5117188
229,2,327.997669784,47.3676986694,79401.203125
230,0,150.104405437,407.855010986,133370.5625
230,1,150.10450036,410.042999268,171065.4375
230,2,150.104496313,414.710998535,234299.5625
231,1,238.120267145,218.26499939,186202.875
231,2,238.120387187,217.973999023,174875.171875
232,0,485.174574731,520.976013184,1097062.125
232,1,485.174286655,524.573974609,886111.0625
232,2,485.174908326,523.406005859,1172652.375
