peakset,peakset_prob,file,m/z,rt,intensity,trans,trans_prob,precursor mass,members
31,1.0,0,173.068817329,438.406005859,3022813.5,M+H,1.0000,173.06882,2
31,1.0,2,173.06884543,433.584014893,2034496.875,M+H,1.0000,173.06885,1
32,1.0,0,86.0367636707,646.271972656,12338473.0,M+H,1.0000,86.03676,1
32,1.0,1,86.03675159,646.276000977,10857321.0,M+H,1.0000,86.03675,1
32,1.0,2,86.0367708974,645.484008789,10521985.0,M+H,1.0000,86.03677,1
33,1.0,0,351.189249571,229.710006714,238236.78125,M+H,1.0000,351.18925,1
33,1.0,2,351.189466201,229.643005371,208001.1875,M+H,1.0000,351.18947,1
34,1.0,0,402.904151007,821.650024414,138193.40625,M+H,1.0000,402.90415,1
34,1.0,1,402.904246076,818.481994629,143764.0625,M+H,1.0000,402.90425,1
34,1.0,2,402.90433075,823.169006348,190817.46875,M+H,1.0000,402.90433,1
35,1.0,0,173.116457527,229.710006714,464839.90625,M+H,1.0000,173.11646,1
35,1.0,2,173.116522919,236.216003418,217344.828125,M+H,1.0000,173.11652,1
36,1.0,0,185.105208022,458.359985352,267001.90625,M+H,1.0000,185.10521,1
36,1.0,1,185.105202197,461.74798584,198285.515625,M+H,1.0000,185.10520,1
36,1.0,2,185.105249708,461.247009277,304740.53125,M+H,1.0000,185.10525,1
37,1.0,0,517.811895095,274.851013184,239261.4375,M+H,1.0000,517.81190,1
37,1.0,1,517.812131368,277.529998779,242878.703125,M+H,1.0000,517.81213,1
37,1.0,2,517.811760171,272.447998047,257585.390625,M+H,1.0000,517.81176,1
38,1.0,1,212.104780795,308.00100708,159901.78125,M+H,1.0000,212.10478,1
38,1.0,2,212.104844484,300.036010742,216850.578125,M+H,1.0000,212.10484,1
39,1.0,1,171.912068627,1338.92004395,72863.5390625,M+H,1.0000,171.91207,1
39,1.0,2,171.912145764,1340.04003906,108089.71875,M+H,1.0000,171.91215,1
40,1.0,0,250.120391941,205.735992432,6376576.0,M+H,1.0000,250.12039,1
40,1.0,1,250.120280809,206.817001343,6535724.5,M+H,1.0000,250.12028,1
40,1.0,2,250.120308394,205.37600708,7254874.5,M+H,1.0000,250.12031,1
41,1.0,0,287.184251455,281.432006836,125597.28125,M+NH4,0.9100,270.15774,2
41,1.0,2,287.184199652,274.937011719,79565.5546875,M+NH4,1.0000,270.15770,2
42,1.0,0,270.157741862,282.677001953,243543.84375,M+H,1.0000,270.15774,2
42,1.0,1,270.157768246,283.929992676,277436.53125,M+H,1.0000,270.15777,1
42,1.0,2,270.15769996,276.179992676,206530.890625,M+H,1.0000,270.15770,2
43,1.0,0,365.101344335,641.309997559,1258147.75,M+H,1.0000,365.10134,1
43,1.0,1,365.101447272,641.314025879,1247322.5,M+H,1.0000,365.10145,1
43,1.0,2,365.101476893,639.262023926,960888.6875,M+H,1.0000,365.10148,1
44,1.0,0,346.24676459,1375.05004883,124938.453125,M+H,1.0000,346.24676,1
44,1.0,1,346.246798005,1367.43005371,162266.890625,M+H,1.0000,346.24680,1
44,1.0,2,346.246842808,1375.58996582,101425.835938,M+H,1.0000,346.24684,1
45,1.0,0,268.130843537,244.410003662,214196.578125,M+CH3OH+H,0.7180,235.09725,3
45,1.0,2,268.130969272,241.867996216,232795.375,M+CH3OH+H,0.9990,235.09732,3
46,1.0,0,296.162396926,236.287002563,200904.140625,M+IsoProp+H,0.9140,235.09725,3
46,1.0,1,296.162468614,236.324005127,131970.578125,M+IsoProp+H,0.7810,235.09727,2
46,1.0,2,296.162534029,236.216003418,213044.21875,M+IsoProp+H,1.0000,235.09732,3
47,1.0,0,236.104473607,235.044006348,2193247.5,M+H,0.7370,235.09725,3
47,1.0,1,236.104547042,235.080993652,2052481.5,M+H,0.6510,235.09727,2
47,1.0,2,236.10443043,234.972000122,820174.75,M+H,0.9310,235.09732,3
48,1.0,0,386.143672311,564.797973633,189900.90625,M+H,1.0000,386.14367,1
48,1.0,2,386.143692946,562.015014648,200921.609375,M+H,1.0000,386.14369,1
49,1.0,0,402.147131802,562.307983398,273868.84375,M+H,1.0000,402.14713,1
49,1.0,1,402.147097164,564.783996582,191264.8125,M+H,1.0000,402.14710,1
49,1.0,2,402.146818595,557.030029297,181553.984375,M+H,1.0000,402.14682,1
50,1.0,0,217.125675471,626.051025391,770366.3125,M+H,1.0000,217.12568,1
50,1.0,1,217.125696354,626.302001953,572636.8125,M+H,1.0000,217.12570,1
50,1.0,2,217.125691967,626.781005859,773964.375,M+H,1.0000,217.12569,1
51,1.0,0,88.0523495185,49.2458992004,64803.40625,M+H,1.0000,88.05235,1
51,1.0,1,88.0523626182,41.3342018127,65736.4140625,M+H,1.0000,88.05236,1
51,1.0,2,88.0523308466,33.1557006836,62618.0117188,M+H,1.0000,88.05233,1
52,1.0,0,254.100082034,589.700012207,1710498.5,M+H,1.0000,253.09281,1
52,1.0,1,254.099993172,588.528015137,1760787.5,M+H,1.0000,253.09272,1
52,1.0,2,254.100271074,588.16998291,2184177.0,M+H,1.0000,253.09299,1
53,1.0,0,341.132183234,670.09197998,3868974.5,M+NH4,0.9180,323.09829,2
53,1.0,2,341.132154302,666.945983887,4146739.25,M+NH4,0.5030,323.09825,2
54,1.0,0,324.105563826,667.614013672,13108415.0,M+H,1.0000,323.09829,2
54,1.0,2,324.105526978,661.989013672,16102903.0,M+H,1.0000,323.09825,2
55,1.0,0,213.63958146,817.838012695,208665.90625,M+H,1.0000,213.63958,1
55,1.0,1,213.639641972,819.75201416,169701.40625,M+H,1.0000,213.63964,1
55,1.0,2,213.639616209,820.549987793,355277.90625,M+H,1.0000,213.63962,1
56,1.0,0,180.082582082,602.223999023,900233.625,M+H,1.0000,180.08258,1
56,1.0,1,180.082618855,601.028015137,841746.0,M+H,1.0000,180.08262,1
56,1.0,2,180.082732217,601.83001709,1022902.625,M+H,1.0000,180.08273,1
57,1.0,0,215.126851488,947.614013672,364984.625,M+H,1.0000,215.12685,1
57,1.0,1,215.126901729,946.278015137,377594.96875,M+H,1.0000,215.12690,1
57,1.0,2,215.126861822,951.594970703,367376.03125,M+H,1.0000,215.12686,1
58,1.0,1,196.121190878,383.549987793,543043.875,M+NH4,1.0000,179.09459,2
58,1.0,2,196.121201395,391.140014648,711736.25,M+NH4,0.9980,179.09459,2
59,1.0,1,179.094591852,388.881988525,5191891.0,M+H,1.0000,179.09459,2
59,1.0,2,179.094593475,393.984008789,22355308.0,M+H,1.0000,179.09459,2
60,1.0,0,415.242936012,299.618011475,628642.0625,M+ACN+H,1.0000,374.21640,3
61,1.0,0,412.173294841,300.863006592,299753.5,M+K,0.9990,374.21640,3
61,1.0,1,412.172849668,299.761993408,346969.0,M+K,0.4340,374.21648,2
61,1.0,2,412.172922051,293.446990967,237691.734375,M+K,0.9980,374.21635,2
62,1.0,0,374.216396443,299.618011475,863940.8125,M+H,1.0000,374.21640,3
62,1.0,1,374.216477067,298.518005371,1029803.1875,M+H,1.0000,374.21648,2
62,1.0,2,374.216348399,286.858001709,720354.75,M+H,1.0000,374.21635,2
63,1.0,0,121.060845301,199.48500061,405725.3125,M+H,1.0000,121.06085,1
63,1.0,2,121.060826921,197.82699585,494068.09375,M+H,1.0000,121.06083,1
64,1.0,2,157.110292438,360.92401123,250428.8125,M+ACN+H,1.0000,116.08371,2
65,1.0,0,116.083717007,359.399993896,1119590.125,M+H,1.0000,116.08372,1
65,1.0,2,116.083711695,360.92401123,1935028.75,M+H,1.0000,116.08371,2
66,1.0,0,274.152695202,317.165008545,360113.3125,M+CH3OH+H,1.0000,242.12662,2
67,1.0,0,242.12662396,322.540985107,650210.5625,M+H,1.0000,242.12662,2
67,1.0,2,242.126596559,318.545013428,740959.8125,M+H,1.0000,242.12660,1
68,1.0,0,382.108508938,628.815979004,769434.0625,M+H,1.0000,382.10851,1
68,1.0,1,382.108405429,626.302001953,674427.25,M+H,1.0000,382.10841,1
68,1.0,2,382.108509559,628.026000977,457795.1875,M+H,1.0000,382.10851,1
69,1.0,0,310.124782772,443.407012939,550502.25,M+H,1.0000,310.12478,1
69,1.0,1,310.12481257,444.307006836,522437.28125,M+H,1.0000,310.12481,1
69,1.0,2,310.124678115,446.096008301,522903.9375,M+H,1.0000,310.12468,1
70,1.0,0,674.243211119,694.036987305,291100.46875,M+H,1.0000,674.24321,1
70,1.0,1,674.243158808,695.831970215,288828.625,M+H,1.0000,674.24316,1
70,1.0,2,674.243222999,697.664001465,209987.171875,M+H,1.0000,674.24322,1
71,1.0,0,297.082286448,464.583007812,599883.5625,M+H,1.0000,297.08229,1
71,1.0,1,297.082155272,465.494995117,512047.15625,M+H,1.0000,297.08216,1
71,1.0,2,297.082322828,465.063995361,339983.625,M+H,1.0000,297.08232,1
72,1.0,0,167.094609669,287.882995605,273433.875,M+CH3OH+H,1.0000,135.06843,3
72,1.0,1,167.094642641,287.847991943,278281.8125,M+CH3OH+H,0.7240,135.06845,3
72,1.0,2,167.094638057,277.608001709,193696.734375,M+CH3OH+H,1.0000,135.06844,2
73,1.0,0,213.082554449,287.882995605,146903.671875,M+DMSO+H,1.0000,135.06843,3
73,1.0,1,213.082725722,290.335998535,164165.171875,M+DMSO+H,0.9990,135.06845,3
74,1.0,0,135.068430679,293.227996826,1004795.625,M+H,1.0000,135.06843,3
74,1.0,1,135.068451081,293.188995361,803850.5,M+H,1.0000,135.06845,3
74,1.0,2,135.068439731,282.765014648,320275.28125,M+H,1.0000,135.06844,2
75,1.0,0,327.997853871,29.5209999084,76804.484375,M+H,1.0000,327.99785,1
75,1.0,2,327.997800843,24.0289993286,71568.84375,M+H,1.0000,327.99780,1
76,1.0,0,404.160239241,213.255996704,504053.71875,M+K,0.7870,365.19719,2
76,1.0,1,404.159980904,214.246002197,502781.78125,M+K,0.6440,365.19699,1
76,1.0,2,404.160108824,216.557006836,855239.5,M+K,0.7110,365.19701,2
77,1.0,0,366.204468331,209.54800415,1814784.875,M+H,0.5950,365.19719,2
77,1.0,2,366.204289677,210.37399292,1837455.125,M+H,0.5630,365.19701,2
78,1.0,1,278.147513776,388.881988525,2855721.5,M+H,1.0000,278.14751,1
78,1.0,2,278.147556028,396.588012695,2593147.75,M+H,1.0000,278.14756,1
79,1.0,0,256.11694319,650.03302002,1922160.875,M+H,1.0000,256.11694,1
79,1.0,1,256.116941574,648.794006348,1934320.0,M+H,1.0000,256.11694,1
79,1.0,2,256.116989479,649.237976074,2058178.25,M+H,1.0000,256.11699,1
80,1.0,1,303.131857865,558.338012695,144107.75,M+H,1.0000,303.13186,1
80,1.0,2,303.131970311,550.732971191,169181.046875,M+H,1.0000,303.13197,1
81,1.0,0,145.110288013,326.286987305,6182547.5,M+H,1.0000,145.11029,1
81,1.0,1,145.110284303,340.233001709,6852189.0,M+H,1.0000,145.11028,1
81,1.0,2,145.110266925,338.657989502,12794882.0,M+H,1.0000,145.11027,1
82,1.0,1,171.125884312,420.17098999,213482.609375,M+H,1.0000,171.12588,1
82,1.0,2,171.125846376,422.312988281,245336.671875,M+H,1.0000,171.12585,1
83,1.0,0,131.957386519,164.17300415,59394.0117188,M+H,1.0000,131.95739,1
83,1.0,1,131.957372156,150.824996948,52648.2070312,M+H,1.0000,131.95737,1
83,1.0,2,131.957376462,159.078994751,59198.4882812,M+H,1.0000,131.95738,1
84,1.0,0,252.098655317,438.406005859,522079.375,M+H,1.0000,252.09866,1
84,1.0,1,252.098703107,440.541992188,502324.125,M+H,1.0000,252.09870,1
84,1.0,2,252.098635571,441.023010254,594428.8125,M+H,1.0000,252.09864,1
85,1.0,0,273.090374408,435.829986572,353502.96875,M+H,1.0000,273.09037,1
85,1.0,1,273.090377664,439.302001953,295841.0625,M+H,1.0000,273.09038,1
85,1.0,2,273.090325666,437.303985596,302604.5625,M+H,1.0000,273.09033,1
86,1.0,0,251.136752753,704.127990723,206228.78125,M+H,1.0000,251.13675,1
86,1.0,1,251.136757652,703.427001953,194187.140625,M+H,1.0000,251.13676,1
86,1.0,2,251.136771225,702.846008301,242093.40625,M+H,1.0000,251.13677,1
87,1.0,0,75.0320295453,656.239990234,1047793.6875,M+H,1.0000,75.03203,1
87,1.0,2,75.0320191742,655.617004395,1050415.125,M+H,1.0000,75.03202,1
88,1.0,1,194.140050734,280.018005371,262093.453125,M+H,1.0000,194.14005,1
88,1.0,2,194.140554026,276.179992676,104032.96875,M+H,1.0000,194.14055,1
89,1.0,0,173.116544897,213.255996704,604832.75,M+H,1.0000,172.10927,1
89,1.0,2,173.116446243,216.557006836,282512.75,M+H,1.0000,172.10917,1
90,1.0,0,426.284342705,249.533996582,796918.6875,M+DMSO+H,0.9990,348.27063,2
90,1.0,1,426.284288776,253.462997437,599879.3125,M+DMSO+H,0.9950,348.27061,2
90,1.0,2,426.284266632,248.401000977,817957.25,M+DMSO+H,0.9990,348.27062,2
91,1.0,0,348.270627067,248.292007446,2487232.25,M+H,1.0000,348.27063,2
91,1.0,1,348.270611131,249.554992676,1829221.5,M+H,1.0000,348.27061,2
91,1.0,2,348.27062051,247.160995483,2068128.625,M+H,1.0000,348.27062,2
92,1.0,0,231.121868713,589.700012207,727808.625,M+ACN+H,1.0000,190.09523,3
92,1.0,1,231.121878997,591.008972168,673792.0625,M+ACN+H,1.0000,190.09526,2
92,1.0,2,231.121987015,590.646972656,560303.9375,M+ACN+H,1.0000,190.09542,2
93,1.0,0,212.077185692,599.710021973,447515.78125,M+Na,1.0000,190.09523,3
94,1.0,0,190.09523355,597.228027344,15674553.0,M+H,1.0000,190.09523,3
94,1.0,1,190.095264014,599.788024902,14688843.0,M+H,1.0000,190.09526,2
94,1.0,2,190.095422556,598.117980957,10437507.0,M+H,1.0000,190.09542,2
95,1.0,0,95.9204712946,1329.13000488,1266716.125,M+H,1.0000,95.92047,1
95,1.0,1,95.9204690291,1327.20996094,1490257.125,M+H,1.0000,95.92047,1
95,1.0,2,95.9204726418,1331.05004883,1644152.625,M+H,1.0000,95.92047,1
96,1.0,0,407.201544528,661.234985352,322303.1875,M+H,1.0000,407.20154,1
96,1.0,1,407.201623486,663.806030273,335945.5,M+H,1.0000,407.20162,1
96,1.0,2,407.201348337,661.989013672,382281.46875,M+H,1.0000,407.20135,1
97,1.0,0,155.105883401,1184.36999512,86018.828125,M+H,1.0000,155.10588,1
97,1.0,1,155.10589189,1184.43994141,88628.1015625,M+H,1.0000,155.10589,1
97,1.0,2,155.105904161,1186.0300293,111343.210938,M+H,1.0000,155.10590,1
98,1.0,0,179.864192808,1377.59997559,41015.9921875,M+H,1.0000,179.86419,1
98,1.0,1,179.864178869,1381.30004883,38367.3476562,M+H,1.0000,179.86418,1
98,1.0,2,179.864165497,1375.58996582,74882.78125,M+H,1.0000,179.86417,1
99,1.0,0,161.047610561,421.989013672,163159.015625,M+H,1.0000,161.04761,1
99,1.0,1,161.047602125,422.890014648,153811.21875,M+H,1.0000,161.04760,1
99,1.0,2,161.047667102,422.312988281,270340.28125,M+H,1.0000,161.04767,1
100,1.0,0,121.938203915,1352.0,98073.1953125,M+H,1.0000,121.93820,1
100,1.0,1,121.938220228,1350.4699707,76302.3984375,M+H,1.0000,121.93822,1
100,1.0,2,121.938195962,1343.97998047,86499.8828125,M+H,1.0000,121.93820,1
101,1.0,0,283.862547041,829.67401123,38780.6210938,M+Na,1.0000,261.88079,2
101,1.0,1,283.862579242,830.33001709,37028.5,M+Na,1.0000,261.88091,2
101,1.0,2,283.862605262,829.695007324,43559.734375,M+Na,0.9990,261.88074,2
102,1.0,0,261.880787289,829.67401123,92876.921875,M+H,1.0000,261.88079,2
102,1.0,1,261.880910687,830.33001709,76157.578125,M+H,1.0000,261.88091,2
102,1.0,2,261.880744651,829.695007324,86321.609375,M+H,1.0000,261.88074,2
103,1.0,1,284.137060203,878.737976074,49012.1796875,M+H,1.0000,284.13706,1
103,1.0,2,284.137062929,879.138977051,73528.3671875,M+H,1.0000,284.13706,1
104,1.0,0,418.162709251,249.533996582,161436.0,M+CH3OH+H,1.0000,386.13691,2
104,1.0,1,418.162519685,249.554992676,172311.609375,M+CH3OH+H,1.0000,386.13663,2
104,1.0,2,418.162499092,249.641998291,99753.890625,M+CH3OH+H,1.0000,386.13668,2
105,1.0,0,386.136909604,248.292007446,206610.59375,M+H,1.0000,386.13691,2
105,1.0,1,386.136626755,245.654998779,267604.15625,M+H,1.0000,386.13663,2
105,1.0,2,386.13667785,243.10899353,214234.859375,M+H,1.0000,386.13668,2
106,1.0,0,276.087477936,1437.45996094,36038.0351562,M+H,1.0000,276.08748,1
106,1.0,1,276.08737093,1436.10998535,25128.5839844,M+H,1.0000,276.08737,1
106,1.0,2,276.087558925,1439.51000977,40114.421875,M+H,1.0000,276.08756,1
107,1.0,1,138.042903979,877.473022461,155839.703125,M+H,1.0000,138.04290,1
107,1.0,2,138.042907615,880.403015137,147765.15625,M+H,1.0000,138.04291,1
108,1.0,1,286.062139255,388.881988525,393061.21875,M+H,1.0000,286.06214,1
108,1.0,2,286.06218233,392.744995117,378003.78125,M+H,1.0000,286.06218,1
109,1.0,1,131.957396823,29.5387001038,48983.6640625,M+H,1.0000,131.95740,1
109,1.0,2,131.957382401,26.6014003754,59845.4179688,M+H,1.0000,131.95738,1
