peakset,peakset_prob,file,m/z,rt,intensity,trans,trans_prob,precursor mass,members
6775,1.0,0,285.132502617,562.307983398,220134.046875,M+2ACN+H,0.8620,202.07214,2
6779,1.0,0,278.151671121,229.710006714,1807320.5,M+H,1.0000,278.15167,2
6780,1.0,0,316.107756206,233.800994873,83749.0078125,M+K,1.0000,278.15167,2
6802,1.0,0,379.208375367,209.54800415,1371018.875,M+H,1.0000,379.20838,2
6803,1.0,0,417.163468062,209.54800415,465757.125,M+K,1.0000,379.20838,2
6806,1.0,0,164.068485631,519.739013672,1295761.375,M+H,1.0000,164.06849,3
6807,1.0,0,186.050363952,520.976013184,1200537.5,M+Na,1.0000,164.06849,3
6808,1.0,0,181.095167039,520.976013184,313749.8125,M+NH4,1.0000,164.06849,3
6809,1.0,0,185.068803728,379.781005859,1286439.625,M+H,1.0000,185.06880,2
6810,1.0,0,223.024589115,385.067993164,99972.1796875,M+K,0.9990,185.06880,2
6812,1.0,0,514.405859253,258.973999023,1275951.25,M+H,1.0000,514.40586,2
6813,1.0,0,552.361838524,258.973999023,1002487.9375,M+K,1.0000,514.40586,2
6815,1.0,0,173.068736871,420.519989014,1265392.75,M+H,0.4620,172.06146,2
6816,1.0,0,211.024702509,424.476013184,322953.3125,M+K,0.7000,172.06146,2
6831,1.0,0,151.063317343,283.92098999,1017823.8125,M+H,1.0000,151.06332,3
6832,1.0,0,211.120742934,281.432006836,609895.8125,M+IsoProp+H,0.9440,151.06332,3
6833,1.0,0,229.077274397,286.411987305,132727.25,M+DMSO+H,1.0000,151.06332,3
6834,1.0,0,126.031684851,378.541992188,1015541.1875,M+H,1.0000,125.02442,3
6835,1.0,0,208.084783147,385.067993164,761540.6875,M+2ACN+H,0.5040,125.02442,3
6836,1.0,0,204.045720556,378.541992188,258903.96875,M+DMSO+H,0.5130,125.02442,3
6837,1.0,0,126.031683819,378.541992188,1015541.1875,M+H,1.0000,125.02442,2
6838,1.0,0,143.05826787,378.541992188,784526.5,M+NH4,0.5100,125.02442,2
6841,1.0,0,158.06912903,622.317016602,1004093.25,M+H,1.0000,158.06913,2
6842,1.0,0,218.126638452,615.861999512,320695.625,M+IsoProp+H,1.0000,158.06913,2
6846,1.0,0,195.053130971,406.430999756,966916.125,M+H,1.0000,195.05313,2
6847,1.0,0,236.079537356,409.089996338,657498.75,M+ACN+H,0.8240,195.05313,2
6864,1.0,0,171.089398145,420.519989014,879832.625,M+H,1.0000,171.08940,2
6865,1.0,0,203.115610051,413.032989502,531302.4375,M+CH3OH+H,1.0000,171.08940,2
6877,1.0,0,374.216260307,407.855010986,852385.8125,M+H,1.0000,374.21626,2
6878,1.0,0,225.063641058,410.32598877,385828.5,M+2K-H,1.0000,374.21626,2
6901,1.0,0,110.036783885,480.070007324,707980.25,M+H,0.8610,109.02951,2
6902,1.0,0,170.094351406,486.476013184,81513.890625,M+IsoProp+H,0.9140,109.02951,2
6909,1.0,0,276.136117857,209.54800415,683584.8125,M+H,1.0000,276.13612,2
6910,1.0,0,336.193920808,214.492996216,195766.140625,M+IsoProp+H,0.7980,276.13612,2
6917,1.0,0,126.031693238,513.556030273,656461.8125,M+H,1.0000,125.02442,2
6918,1.0,0,158.057824556,509.662994385,212744.59375,M+CH3OH+H,0.6420,125.02442,2
6920,1.0,0,188.115909673,409.089996338,645531.4375,M+H,1.0000,188.11591,2
6921,1.0,0,270.168812512,418.037994385,227538.984375,M+2ACN+H,0.9990,188.11591,2
6926,1.0,0,126.031682893,345.625,624932.9375,M+H,1.0000,126.03168,2
6927,1.0,0,204.045677855,341.890991211,166358.328125,M+DMSO+H,1.0000,126.03168,2
6930,1.0,0,275.824192174,1345.63000488,614407.5,M+H,1.0000,275.82419,3
6931,1.0,0,297.806224292,1354.52001953,415234.90625,M+Na,1.0000,275.82419,3
6932,1.0,0,313.780126477,1345.63000488,358882.53125,M+K,1.0000,275.82419,3
6940,1.0,0,251.079376028,490.364990234,598112.5625,M+H,1.0000,251.07938,2
6941,1.0,0,268.105776392,484.00201416,375634.5625,M+NH4,1.0000,251.07938,2
6944,1.0,0,324.193579509,244.410003662,594056.75,M+H,1.0000,324.19358,2
6945,1.0,0,362.149094875,237.867996216,171078.265625,M+K,1.0000,324.19358,2
6977,1.0,0,124.06368863,7.39108991623,508301.5,M+H,1.0000,124.06369,2
6978,1.0,0,165.090220764,4.46622991562,261955.09375,M+ACN+H,1.0000,124.06369,2
6981,1.0,0,161.084030748,278.946014404,504328.375,M+H,1.0000,161.08403,2
6982,1.0,0,202.110589908,281.432006836,199257.015625,M+ACN+H,0.9980,161.08403,2
6994,1.0,0,402.247703773,293.227996826,488855.375,M+H,1.0000,401.24043,2
6995,1.0,0,443.274509788,290.37298584,173898.21875,M+ACN+H,0.6400,401.24043,2
7001,1.0,0,241.094875072,558.499023438,481149.78125,M+H,1.0000,241.09488,2
7002,1.0,0,132.042246897,559.742004395,387509.34375,M+H+Na,0.9990,241.09488,2
