peakset,peakset_prob,file,m/z,rt,intensity,trans,trans_prob,precursor mass,members
109,1.0,2,247.051287303,647.997009277,4074662.75,M+H,1.0000,247.05129,2
109,1.0,1,247.051290876,650.036010742,2701529.75,M+H,1.0000,247.05129,2
110,1.0,0,188.031997495,686.518981934,196767.828125,M+CH3OH+H,1.0000,156.00586,2
110,1.0,1,188.031955125,686.736022949,169892.359375,M+CH3OH+H,1.0000,156.00587,2
110,1.0,2,188.032041869,685.687988281,224253.453125,M+CH3OH+H,1.0000,156.00589,2
112,1.0,1,242.126690297,281.263000488,110027.929688,M+NH4,1.0000,224.09275,3
113,1.0,0,194.10563639,557.252990723,156673.390625,M+ACN+H,1.0000,153.07897,2
113,1.0,2,194.105581999,557.030029297,202014.984375,M+ACN+H,1.0000,153.07904,2
115,1.0,0,230.045855484,1364.80004883,98806.4453125,M+K,0.9990,192.08991,2
116,1.0,2,274.152576757,362.489990234,364463.59375,M+CH3OH+H,1.0000,242.12655,2
120,1.0,2,265.131312294,387.412994385,324083.375,M+IsoProp+H,1.0000,205.07386,3
125,1.0,2,280.203788674,239.052001953,1158873.5,M+H,1.0000,280.20379,2
125,1.0,0,280.203653636,239.110992432,2231212.75,M+H,1.0000,280.20365,3
125,1.0,1,280.203771997,237.88999939,2334926.0,M+H,1.0000,280.20377,2
126,1.0,2,191.115890133,593.125976562,1345274.5,M+H,1.0000,191.11589,2
126,1.0,1,191.115677727,592.335998535,907869.9375,M+H,1.0000,191.11568,2
126,1.0,0,191.115657434,589.700012207,980392.1875,M+H,1.0000,191.11566,2
133,1.0,0,464.223151775,673.992004395,274770.15625,M+NH4,1.0000,447.19658,2
143,1.0,1,117.078908136,530.770019531,1481823872.0,M+H,1.0000,116.07163,2
144,1.0,0,331.82547132,1378.84997559,31132.2089844,M+Na,0.8400,309.84365,3
152,1.0,1,113.047701856,623.814025879,432846.65625,M+NH4,1.0000,96.02115,2
154,1.0,0,210.097900641,564.797973633,945809.6875,M+Na,1.0000,188.11603,2
154,1.0,2,210.097910132,563.257995605,466231.65625,M+Na,0.7520,188.11606,2
154,1.0,1,210.0978203,566.031005859,1030733.3125,M+Na,1.0000,188.11598,2
161,1.0,0,179.079240464,411.614990234,578533.0,M+NH4,1.0000,162.05264,2
162,1.0,0,238.131652418,297.136993408,675487.9375,M+CH3OH+H,0.6820,206.10550,2
162,1.0,1,238.131642157,295.67199707,581727.875,M+CH3OH+H,0.8690,206.10554,2
167,1.0,2,252.120901469,513.346984863,287127.9375,M+IsoProp+H,1.0000,192.06354,2
182,1.0,2,170.105492173,371.295013428,803523.4375,M+ACN+H,0.8030,128.07173,2
194,1.0,2,168.089856219,363.727996826,1886333.0,M+NH4,1.0000,151.06332,4
195,1.0,2,276.087446496,148.522994995,110903.945312,M+K,1.0000,238.13153,2
196,1.0,1,204.136211915,241.753997803,192139.453125,M+IsoProp+H,0.5790,144.07869,2
202,1.0,2,183.089551088,392.744995117,374818.0,M+CH3OH+H,0.4270,150.05607,2
204,1.0,0,255.103400926,595.984985352,287297.59375,M+H,1.0000,255.10340,2
205,1.0,2,191.13095236,249.641998291,124403.21875,M+ACN+H,0.8530,150.10453,3
206,1.0,0,153.100173922,507.180999756,54571.96875,M+NH4,1.0000,136.07346,2
211,1.0,2,207.089528304,270.834991455,769075.4375,M+H,1.0000,206.08225,2
212,1.0,2,185.068813596,505.656005859,1584635.625,M+H,1.0000,185.06881,2
217,1.0,0,175.084435839,834.747009277,384308.75,M+H,1.0000,175.08444,2
220,1.0,0,428.203571649,217.007003784,137985.34375,M+CH3OH+H,1.0000,396.17834,2
233,1.0,1,174.136854255,915.335021973,124415.84375,M+IsoProp+H,1.0000,114.07934,2
246,1.0,1,424.128769381,239.134002686,4460694.0,M+K,1.0000,386.17289,3
246,1.0,2,424.128751958,240.294998169,3611154.5,M+K,1.0000,386.17285,2
246,1.0,0,424.128649126,240.354003906,3658699.0,M+K,1.0000,386.17275,3
253,1.0,2,536.188339938,605.539001465,11662314.0,M+Na,0.9990,514.20639,2
254,1.0,1,493.19650211,778.099975586,44635.6484375,M+Na,1.0000,471.21474,2
257,1.0,1,133.073865153,588.528015137,2267728.25,M+NH4,0.8710,116.04727,2
257,1.0,2,133.073958845,588.16998291,2738977.5,M+NH4,1.0000,116.04736,3
257,1.0,0,133.073878712,589.700012207,2683105.0,M+NH4,1.0000,116.04728,2
258,1.0,1,202.095279626,420.17098999,926677.0,M+NH4,0.9980,185.06881,3
259,1.0,1,224.089624165,551.95300293,314255.375,M+CH3OH+H,1.0000,192.06343,2
259,1.0,2,224.089597559,550.732971191,478724.4375,M+CH3OH+H,1.0000,192.06343,3
259,1.0,0,224.089636734,547.239013672,297042.8125,M+CH3OH+H,1.0000,192.06347,3
263,1.0,1,214.131689197,388.881988525,309256.375,M+ACN+H,0.7950,173.10523,2
263,1.0,2,214.131715051,393.984008789,523051.1875,M+ACN+H,1.0000,173.10524,2
267,1.0,2,183.125953706,341.138000488,123048.039062,M+NH4,0.5160,165.09209,2
271,1.0,2,330.140333084,712.937988281,228816.5,M+Na,1.0000,308.15830,2
272,1.0,0,201.100062843,295.710998535,159338.109375,M+NH4,1.0000,184.07357,2
273,1.0,2,367.116398482,233.731002808,40236.59375,M+Na,1.0000,344.12701,3
280,1.0,1,392.109694956,450.542999268,492812.53125,M+K,1.0000,354.15385,2
280,1.0,0,392.109719281,457.122009277,471548.40625,M+K,1.0000,354.15392,3
287,1.0,0,221.162734408,140.365005493,38027.6132812,M+NH4,0.5160,203.12884,2
291,1.0,2,123.079712751,414.710998535,886624.0625,M+H,1.0000,123.07971,2
291,1.0,1,123.079713876,410.042999268,899549.4375,M+H,1.0000,123.07971,2
291,1.0,0,123.079623861,409.089996338,815545.625,M+H,1.0000,123.07962,2
298,1.0,1,184.03480749,863.104003906,128787.132812,M+H,1.0000,184.03481,2
305,1.0,1,355.150503594,286.417999268,150992.3125,M+K,0.9990,317.19512,2
306,1.0,0,327.866866044,1367.5,50746.390625,M+K,1.0000,289.91066,2
307,1.0,2,214.095414647,391.140014648,133929.84375,M+ACN+H,1.0000,173.06887,2
312,1.0,1,211.844447727,1372.52001953,30045.7949219,M+K,1.0000,173.88868,2
316,1.0,2,170.069113854,485.570007324,1193901.0,M+ACN+H,1.0000,129.04261,4
316,1.0,0,170.069158879,485.239990234,1368388.75,M+ACN+H,1.0000,129.04262,7
316,1.0,1,170.069154387,484.855010986,1634283.75,M+ACN+H,1.0000,129.04264,6
317,1.0,0,159.02379136,512.320007324,195903.609375,M+Na,1.0000,137.04185,2
321,1.0,0,264.136058012,248.292007446,558663.9375,M+H,1.0000,264.13606,2
321,1.0,1,264.13607412,249.554992676,528771.75,M+H,1.0000,264.13607,3
321,1.0,2,264.136031938,249.641998291,427201.0625,M+H,1.0000,264.13603,3
325,1.0,1,319.174286433,318.562988281,23120.8730469,M+ACN+H,0.9980,278.14700,2
327,1.0,0,382.16205779,298.378997803,220613.609375,M+K,1.0000,344.20615,2
330,1.0,0,563.203428099,281.432006836,132740.671875,M+K,1.0000,525.24760,2
332,1.0,2,267.204457104,260.138000488,289263.21875,M+NH4,1.0000,250.17788,4
332,1.0,1,267.204421076,261.294006348,301503.5,M+NH4,1.0000,250.17790,4
332,1.0,0,267.204421977,260.221008301,334067.75,M+NH4,1.0000,250.17787,3
333,1.0,1,230.162894033,269.502990723,315698.125,M+IsoProp+H,0.9970,170.10550,3
335,1.0,2,192.089926209,392.744995117,459389.3125,M+2ACN+H,0.4230,110.03680,3
337,1.0,2,169.913269309,1370.54003906,123822.007812,M+K,1.0000,131.95740,2
338,1.0,1,200.116086964,410.042999268,246999.34375,M+CH3OH+H,0.9980,168.08986,2
340,1.0,0,177.115322104,276.096008301,128763.523438,M+H,1.0000,177.11532,2
342,1.0,2,271.178232423,233.731002808,77718.2265625,M+NH4,0.9570,253.14445,2
344,1.0,0,146.057962812,490.364990234,1280027.0,M+H,1.0000,146.05796,2
344,1.0,1,146.057972728,482.382995605,1058637.375,M+H,1.0000,146.05797,2
344,1.0,2,146.057900577,486.808990479,1634329.375,M+H,1.0000,146.05790,2
349,1.0,0,189.100015906,442.165985107,904111.5,M+CH3OH+H,0.9980,157.07388,2
350,1.0,0,219.029745232,291.983001709,91986.78125,M+K,1.0000,181.07390,3
351,1.0,1,117.07890972,530.770019531,1481823872.0,M+H,1.0000,116.07163,2
353,1.0,1,151.120842514,363.82598877,1329841.75,M+NH4,0.5830,134.09427,3
353,1.0,2,151.120828833,362.489990234,3055546.5,M+NH4,1.0000,134.09425,4
357,1.0,1,136.052453978,391.363006592,2195690.0,M+H,1.0000,135.04516,3
359,1.0,2,309.12114282,444.856994629,2769155.5,M+H,1.0000,309.12114,2
359,1.0,1,309.12116741,446.817993164,3393001.5,M+H,1.0000,309.12117,3
359,1.0,0,309.121167028,445.890014648,3379372.5,M+H,1.0000,309.12117,2
360,1.0,1,359.136694225,278.774993896,120516.0,M+ACN+H,1.0000,318.11049,2
362,1.0,2,290.076627174,463.82800293,31640228.0,M+K,1.0000,252.12076,5
